Date,cases,deaths,Country,population,continent,"14 day cases/100,000"
12/14/2020,6,0,Australia,25203200.0,Oceania,0.54754952
12/13/2020,13,0,Australia,25203200.0,Oceania,0.55548502
12/12/2020,12,0,Australia,25203200.0,Oceania,0.54754952
11/12/2020,7,0,Australia,25203200.0,Oceania,0.52771077
10/12/2020,6,0,Australia,25203200.0,Oceania,0.55151727
09/12/2020,15,0,Australia,25203200.0,Oceania,0.55151727
08/12/2020,7,0,Australia,25203200.0,Oceania,0.54358177
07/12/2020,9,0,Australia,25203200.0,Oceania,0.57135602
06/12/2020,7,0,Australia,25203200.0,Oceania,0.59119477
05/12/2020,10,0,Australia,25203200.0,Oceania,0.63484002
04/12/2020,16,0,Australia,25203200.0,Oceania,0.61500127
03/12/2020,11,0,Australia,25203200.0,Oceania,0.57929152
02/12/2020,8,0,Australia,25203200.0,Oceania,0.61896902
01/12/2020,11,1,Australia,25203200.0,Oceania,0.61103352
11/30/2020,8,0,Australia,25203200.0,Oceania,0.66658202
11/29/2020,11,0,Australia,25203200.0,Oceania,0.69038852
11/28/2020,7,0,Australia,25203200.0,Oceania,0.67848527
11/27/2020,13,0,Australia,25203200.0,Oceania,0.67054977
11/26/2020,6,0,Australia,25203200.0,Oceania,0.66658202
11/25/2020,13,0,Australia,25203200.0,Oceania,0.67451752
11/24/2020,14,0,Australia,25203200.0,Oceania,0.66261427
11/23/2020,14,0,Australia,25203200.0,Oceania,0.64674327
11/22/2020,18,0,Australia,25203200.0,Oceania,0.61500127
11/21/2020,5,0,Australia,25203200.0,Oceania,0.57135602
11/20/2020,7,0,Australia,25203200.0,Oceania,0.59913027
11/19/2020,21,0,Australia,25203200.0,Oceania,0.61500127
11/18/2020,6,0,Australia,25203200.0,Oceania,0.57929152
11/17/2020,25,0,Australia,25203200.0,Oceania,0.58722702
11/16/2020,14,0,Australia,25203200.0,Oceania,0.51580752
11/15/2020,8,0,Australia,25203200.0,Oceania,0.48009777
11/14/2020,5,0,Australia,25203200.0,Oceania,0.48009777
11/13/2020,12,0,Australia,25203200.0,Oceania,0.51183977
12/11/2020,8,0,Australia,25203200.0,Oceania,0.52374302
11/11/2020,10,0,Australia,25203200.0,Oceania,0.54358177
10/11/2020,10,0,Australia,25203200.0,Oceania,0.55945277
09/11/2020,6,0,Australia,25203200.0,Oceania,0.54754952
08/11/2020,7,0,Australia,25203200.0,Oceania,0.60706577
07/11/2020,12,0,Australia,25203200.0,Oceania,0.63880777
06/11/2020,11,0,Australia,25203200.0,Oceania,0.66261427
05/11/2020,12,0,Australia,25203200.0,Oceania,0.70625952
04/11/2020,8,0,Australia,25203200.0,Oceania,0.71419502
03/11/2020,7,0,Australia,25203200.0,Oceania,0.80545328
02/11/2020,5,0,Australia,25203200.0,Oceania,0.81338878
01/11/2020,8,0,Australia,25203200.0,Oceania,0.82132428
10/31/2020,13,0,Australia,25203200.0,Oceania,0.83719528
10/30/2020,15,0,Australia,25203200.0,Oceania,0.82132428
10/29/2020,13,2,Australia,25203200.0,Oceania,0.84513078
10/28/2020,14,0,Australia,25203200.0,Oceania,0.88877603
10/27/2020,7,0,Australia,25203200.0,Oceania,0.95622778
10/26/2020,21,0,Australia,25203200.0,Oceania,1.01574403
10/25/2020,15,0,Australia,25203200.0,Oceania,1.01177628
10/24/2020,18,0,Australia,25203200.0,Oceania,1.01177628
10/23/2020,22,0,Australia,25203200.0,Oceania,1.03161503
10/22/2020,14,0,Australia,25203200.0,Oceania,1.03955053
10/21/2020,31,0,Australia,25203200.0,Oceania,1.01574403
10/20/2020,9,1,Australia,25203200.0,Oceania,0.99193753
10/19/2020,7,0,Australia,25203200.0,Oceania,1.00780853
10/18/2020,12,0,Australia,25203200.0,Oceania,1.03955053
10/17/2020,9,0,Australia,25203200.0,Oceania,1.02367953
10/16/2020,21,0,Australia,25203200.0,Oceania,1.05542153
10/15/2020,24,5,Australia,25203200.0,Oceania,1.10303454
10/14/2020,31,1,Australia,25203200.0,Oceania,1.00780853
10/13/2020,22,0,Australia,25203200.0,Oceania,0.96019553
12/10/2020,20,1,Australia,25203200.0,Oceania,0.88877603
11/10/2020,15,0,Australia,25203200.0,Oceania,0.90464703
10/10/2020,23,0,Australia,25203200.0,Oceania,0.90861478
09/10/2020,24,0,Australia,25203200.0,Oceania,0.88480828
08/10/2020,8,2,Australia,25203200.0,Oceania,0.82925978
07/10/2020,25,1,Australia,25203200.0,Oceania,0.92051803
06/10/2020,13,0,Australia,25203200.0,Oceania,0.94035678
05/10/2020,15,1,Australia,25203200.0,Oceania,0.94432453
04/10/2020,8,3,Australia,25203200.0,Oceania,0.93638903
03/10/2020,17,2,Australia,25203200.0,Oceania,0.99987303
02/10/2020,33,6,Australia,25203200.0,Oceania,1.12287329
09/30/2020,19,7,Australia,25203200.0,Oceania,1.28951879
09/29/2020,4,3,Australia,25203200.0,Oceania,1.39664804
09/28/2020,24,2,Australia,25203200.0,Oceania,1.5434548000000001
09/27/2020,16,1,Australia,25203200.0,Oceania,1.6228098
09/26/2020,17,8,Australia,25203200.0,Oceania,1.72597131
09/25/2020,10,2,Australia,25203200.0,Oceania,1.86484256
09/24/2020,31,5,Australia,25203200.0,Oceania,2.01561706
09/23/2020,30,3,Australia,25203200.0,Oceania,2.25368207
09/22/2020,14,2,Australia,25203200.0,Oceania,2.34097257
09/21/2020,13,5,Australia,25203200.0,Oceania,2.45603733
