Country,Response_measure,date_start,date_end
Belgium,IndoorOver1000,2020-03-10,2020-03-17
Belgium,MassGatherAll,2020-03-10,2020-03-17
Belgium,Teleworking,2020-03-10,2020-06-07
Belgium,ClosPrim,2020-03-13,2020-05-17
Belgium,ClosPubAny,2020-03-13,2020-05-03
Belgium,ClosSec,2020-03-13,2020-05-17
Belgium,EntertainmentVenues,2020-03-13,2020-05-17
Belgium,GymsSportsCentres,2020-03-13,2020-05-03
Belgium,NonEssentialShops,2020-03-13,2020-05-03
Belgium,PlaceOfWorship,2020-03-13,2020-06-07
Belgium,RestaurantsCafes,2020-03-13,2020-06-08
Belgium,PrivateGatheringRestrictions,2020-03-18,2020-06-30
Belgium,StayHomeOrder,2020-03-18,2020-05-09
Belgium,ClosDaycare,2020-05-01,2020-06-02
Belgium,ClosPubAnyPartial,2020-05-04,2020-11-01
Belgium,GymsSportsCentresPartial,2020-05-04,2020-07-01
Belgium,MasksVoluntaryAllSpaces,2020-05-04,2020-07-10
Belgium,NonEssentialShopsPartial,2020-05-04,2020-06-02
Belgium,StayHomeGenPartial,2020-05-10,2020-08-31
Belgium,ClosPrimPartial,2020-05-18,2020-06-08
Belgium,ClosSecPartial,2020-05-18,2020-08-28
Belgium,EntertainmentVenuesPartial,2020-05-18,2020-11-01
Belgium,PlaceOfWorshipPartial,2020-06-08,2020-10-05
Belgium,TeleworkingPartial,2020-06-08,2020-10-18
Belgium,IndoorOver500,2020-07-01,2020-11-01
Belgium,OutdoorOver500,2020-07-01,2020-11-01
Belgium,MasksMandatoryAllSpaces,2020-07-11,2020-09-30
Belgium,RestaurantsCafesPartial,2020-10-09,2020-10-18
Belgium,NonEssentialShopsPartial,2020-10-19,2020-11-01
Belgium,ClosPubAny,2020-11-02,2020-11-30
Belgium,NonEssentialShops,2020-11-02,2020-11-30
Belgium,ClosDaycare,2020-11-12,2020-11-15
Belgium,ClosPrim,2020-11-12,2020-11-16
Belgium,ClosSec,2020-11-12,2020-11-15
Finland,IndoorOver500,2020-03-12,2020-03-17
Finland,MassGatherAll,2020-03-12,2020-06-30
Finland,OutdoorOver500,2020-03-12,2020-03-17
Finland,StayHomeRiskG,2020-03-16,2020-06-22
Finland,ClosHigh,2020-03-18,2020-08-04
Finland,ClosPrim,2020-03-18,2020-05-14
Finland,ClosPubAny,2020-03-18,2020-05-31
Finland,ClosSec,2020-03-18,2020-08-04
Finland,EntertainmentVenues,2020-03-18,2020-05-31
Finland,GymsSportsCentres,2020-03-18,2020-06-01
Finland,IndoorOver50,2020-03-18,2020-07-31
Finland,MassGather50,2020-03-18,2020-06-30
Finland,OutdoorOver50,2020-03-18,2020-07-01
Finland,RestaurantsCafes,2020-03-18,2020-05-31
Finland,Teleworking,2020-03-18,2020-08-01
Finland,RestaurantsCafesPartial,2020-06-01,2020-07-13
Finland,MassGather50Partial,2020-07-01,2020-07-31
Finland,OutdoorOver500,2020-07-02,2020-10-14
Finland,IndoorOver500,2020-08-01,2020-10-14
Finland,MasksVoluntaryClosedSpacesPartial,2020-08-13,2020-09-17
France,IndoorOver1000,2020-02-29,2020-10-18
France,MassGatherAll,2020-02-29,2020-09-17
France,OutdoorOver1000,2020-03-13,2020-07-11
France,ClosDaycare,2020-03-16,2020-06-01
France,ClosHighPartial,2020-03-16,2020-06-22
France,ClosPrimPartial,2020-03-16,2020-06-22
France,ClosPubAny,2020-03-16,2020-05-10
France,ClosSec,2020-03-16,2020-05-10
France,EntertainmentVenues,2020-03-16,2020-06-01
France,GymsSportsCentres,2020-03-16,2020-06-22
France,NonEssentialShops,2020-03-16,2020-05-10
France,RestaurantsCafes,2020-03-16,2020-06-01
France,PrivateGatheringRestrictions,2020-03-17,2020-06-15
France,StayHomeOrder,2020-03-17,2020-05-11
France,Teleworking,2020-03-17,2020-05-10
France,WorkplaceClosures,2020-03-17,2020-05-11
France,ClosPubAnyPartial,2020-05-11,2020-06-22
France,ClosSecPartial,2020-05-11,2020-06-22
France,MasksVoluntaryAllSpaces,2020-05-11,2020-07-25
France,MasksVoluntaryClosedSpaces,2020-05-11,2020-05-17
France,NonEssentialShopsPartial,2020-05-11,2020-06-02
France,TeleworkingPartial,2020-05-11,2020-10-28
France,StayHomeOrderPartial,2020-05-12,2020-06-02
France,ClosDaycarePartial,2020-06-02,2020-06-22
France,EntertainmentVenuesPartial,2020-06-02,2020-06-22
France,RestaurantsCafesPartial,2020-06-02,2020-06-15
France,MassGather50Partial,2020-09-18,2020-10-18
France,MassGatherAllPartial,2020-09-18,2020-10-18
France,OutdoorOver50,2020-09-18,2020-10-18
France,PrivateGatheringRestrictionsPartial,2020-09-23,2020-10-28
France,RegionalStayHomeOrderPartial,2020-10-17,2020-10-28
France,ClosHigh,2020-10-27,2021-01-24
France,StayHomeOrder,2020-10-28,2020-12-14
France,NonEssentialShops,2020-10-29,2020-11-27
