Country,Response_measure,date_start,date_end
Belgium,IndoorOver1000,03/10/2020,03/17/2020
Belgium,MassGatherAll,03/10/2020,03/17/2020
Belgium,Teleworking,03/10/2020,06/07/2020
Belgium,ClosPrim,03/13/2020,05/17/2020
Belgium,ClosPubAny,03/13/2020,05/03/2020
Belgium,ClosSec,03/13/2020,05/17/2020
Belgium,EntertainmentVenues,03/13/2020,05/17/2020
Belgium,GymsSportsCentres,03/13/2020,05/03/2020
Belgium,NonEssentialShops,03/13/2020,05/03/2020
Belgium,PlaceOfWorship,03/13/2020,06/07/2020
Belgium,RestaurantsCafes,03/13/2020,06/08/2020
Belgium,PrivateGatheringRestrictions,03/18/2020,06/30/2020
Belgium,StayHomeOrder,03/18/2020,05/09/2020
Belgium,ClosDaycare,05/01/2020,06/02/2020
Belgium,ClosPubAnyPartial,05/04/2020,11/01/2020
Belgium,GymsSportsCentresPartial,05/04/2020,07/01/2020
Belgium,MasksVoluntaryAllSpaces,05/04/2020,07/10/2020
Belgium,NonEssentialShopsPartial,05/04/2020,06/02/2020
Belgium,StayHomeGenPartial,05/10/2020,08/31/2020
Belgium,ClosPrimPartial,05/18/2020,06/08/2020
Belgium,ClosSecPartial,05/18/2020,08/28/2020
Belgium,EntertainmentVenuesPartial,05/18/2020,11/01/2020
Belgium,PlaceOfWorshipPartial,06/08/2020,10/05/2020
Belgium,TeleworkingPartial,06/08/2020,10/18/2020
Belgium,IndoorOver500,07/01/2020,11/01/2020
Belgium,OutdoorOver500,07/01/2020,11/01/2020
Belgium,MasksMandatoryAllSpaces,07/11/2020,09/30/2020
Belgium,RestaurantsCafesPartial,10/09/2020,10/18/2020
Belgium,NonEssentialShopsPartial,10/19/2020,11/01/2020
Belgium,ClosPubAny,11/02/2020,11/30/2020
Belgium,NonEssentialShops,11/02/2020,11/30/2020
Belgium,ClosDaycare,11/12/2020,11/15/2020
Belgium,ClosPrim,11/12/2020,11/16/2020
Belgium,ClosSec,11/12/2020,11/15/2020
Finland,IndoorOver500,03/12/2020,03/17/2020
Finland,MassGatherAll,03/12/2020,06/30/2020
Finland,OutdoorOver500,03/12/2020,03/17/2020
Finland,StayHomeRiskG,03/16/2020,06/22/2020
Finland,ClosHigh,03/18/2020,08/04/2020
Finland,ClosPrim,03/18/2020,05/14/2020
Finland,ClosPubAny,03/18/2020,05/31/2020
Finland,ClosSec,03/18/2020,08/04/2020
Finland,EntertainmentVenues,03/18/2020,05/31/2020
Finland,GymsSportsCentres,03/18/2020,06/01/2020
Finland,IndoorOver50,03/18/2020,07/31/2020
Finland,MassGather50,03/18/2020,06/30/2020
Finland,OutdoorOver50,03/18/2020,07/01/2020
Finland,RestaurantsCafes,03/18/2020,05/31/2020
Finland,Teleworking,03/18/2020,08/01/2020
Finland,RestaurantsCafesPartial,06/01/2020,07/13/2020
Finland,MassGather50Partial,07/01/2020,07/31/2020
Finland,OutdoorOver500,07/02/2020,10/14/2020
Finland,IndoorOver500,08/01/2020,10/14/2020
Finland,MasksVoluntaryClosedSpacesPartial,08/13/2020,09/17/2020
France,IndoorOver1000,02/29/2020,10/18/2020
France,MassGatherAll,02/29/2020,09/17/2020
France,OutdoorOver1000,03/13/2020,07/11/2020
France,ClosDaycare,03/16/2020,06/01/2020
France,ClosHighPartial,03/16/2020,06/22/2020
France,ClosPrimPartial,03/16/2020,06/22/2020
France,ClosPubAny,03/16/2020,05/10/2020
France,ClosSec,03/16/2020,05/10/2020
France,EntertainmentVenues,03/16/2020,06/01/2020
France,GymsSportsCentres,03/16/2020,06/22/2020
France,NonEssentialShops,03/16/2020,05/10/2020
France,RestaurantsCafes,03/16/2020,06/01/2020
France,PrivateGatheringRestrictions,03/17/2020,06/15/2020
France,StayHomeOrder,03/17/2020,05/11/2020
France,Teleworking,03/17/2020,05/10/2020
France,WorkplaceClosures,03/17/2020,05/11/2020
France,ClosPubAnyPartial,05/11/2020,06/22/2020
France,ClosSecPartial,05/11/2020,06/22/2020
France,MasksVoluntaryAllSpaces,05/11/2020,07/25/2020
France,MasksVoluntaryClosedSpaces,05/11/2020,05/17/2020
France,NonEssentialShopsPartial,05/11/2020,06/02/2020
France,TeleworkingPartial,05/11/2020,10/28/2020
France,StayHomeOrderPartial,05/12/2020,06/02/2020
France,ClosDaycarePartial,06/02/2020,06/22/2020
France,EntertainmentVenuesPartial,06/02/2020,06/22/2020
France,RestaurantsCafesPartial,06/02/2020,06/15/2020
France,MassGather50Partial,09/18/2020,10/18/2020
France,MassGatherAllPartial,09/18/2020,10/18/2020
France,OutdoorOver50,09/18/2020,10/18/2020
France,PrivateGatheringRestrictionsPartial,09/23/2020,10/28/2020
France,RegionalStayHomeOrderPartial,10/17/2020,10/28/2020
France,ClosHigh,10/27/2020,01/24/2021
France,StayHomeOrder,10/28/2020,12/14/2020
France,NonEssentialShops,10/29/2020,11/27/2020
