Country,Total Tests,Daily Tests,date
Belgium,82,82,03/01/2020
Belgium,399,317,03/02/2020
Belgium,937,538,03/03/2020
Belgium,1638,701,03/04/2020
Belgium,2411,773,03/05/2020
Belgium,3530,1119,03/06/2020
Belgium,4005,475,03/07/2020
Belgium,4488,483,03/08/2020
Belgium,5098,610,03/09/2020
Belgium,5902,804,03/10/2020
Belgium,7010,1108,03/11/2020
Belgium,8448,1438,03/12/2020
Belgium,10972,2524,03/13/2020
Belgium,13143,2171,03/14/2020
Belgium,14412,1269,03/15/2020
Belgium,16304,1892,03/16/2020
Belgium,18559,2255,03/17/2020
Belgium,21273,2714,03/18/2020
Belgium,24668,3395,03/19/2020
Belgium,27788,3120,03/20/2020
Belgium,30064,2276,03/21/2020
Belgium,31478,1414,03/22/2020
Belgium,34800,3322,03/23/2020
Belgium,38775,3975,03/24/2020
Belgium,43057,4282,03/25/2020
Belgium,47420,4363,03/26/2020
Belgium,52350,4930,03/27/2020
Belgium,56200,3850,03/28/2020
Belgium,58619,2419,03/29/2020
Belgium,62720,4101,03/30/2020
Belgium,69152,6432,03/31/2020
Belgium,75043,5891,04/01/2020
Belgium,81131,6088,04/02/2020
Belgium,87849,6718,04/03/2020
Belgium,93217,5368,04/04/2020
Belgium,97045,3828,04/05/2020
Belgium,102885,5840,04/06/2020
Belgium,110394,7509,04/07/2020
Belgium,118366,7972,04/08/2020
Belgium,126590,8224,04/09/2020
Belgium,135127,8537,04/10/2020
Belgium,143275,8148,04/11/2020
Belgium,150562,7287,04/12/2020
Belgium,157260,6698,04/13/2020
Belgium,165423,8163,04/14/2020
Belgium,176407,10984,04/15/2020
Belgium,187149,10742,04/16/2020
Belgium,198449,11300,04/17/2020
Belgium,208761,10312,04/18/2020
Belgium,215961,7200,04/19/2020
Belgium,227877,11916,04/20/2020
Belgium,238755,10878,04/21/2020
Belgium,254343,15588,04/22/2020
Belgium,271722,17379,04/23/2020
Belgium,290790,19068,04/24/2020
Belgium,307983,17193,04/25/2020
Belgium,321862,13879,04/26/2020
Belgium,339334,17472,04/27/2020
Belgium,359705,20371,04/28/2020
Belgium,382365,22660,04/29/2020
Belgium,407235,24870,04/30/2020
Belgium,430786,23551,05/01/2020
Belgium,447268,16482,05/02/2020
Belgium,460698,13430,05/03/2020
Belgium,483897,23199,05/04/2020
Belgium,505418,21521,05/05/2020
Belgium,526180,20762,05/06/2020
Belgium,548211,22031,05/07/2020
Belgium,574093,25882,05/08/2020
Belgium,595105,21012,05/09/2020
Belgium,607406,12301,05/10/2020
Belgium,618461,11055,05/11/2020
Belgium,638976,20515,05/12/2020
Belgium,662116,23140,05/13/2020
Belgium,682379,20263,05/14/2020
Belgium,703263,20884,05/15/2020
Belgium,717688,14425,05/16/2020
Belgium,727791,10103,05/17/2020
Belgium,738501,10710,05/18/2020
Belgium,755202,16701,05/19/2020
Belgium,773961,18759,05/20/2020
Belgium,783839,9878,05/21/2020
Belgium,797117,13278,05/22/2020
Belgium,806344,9227,05/23/2020
Belgium,813366,7022,05/24/2020
Belgium,823348,9982,05/25/2020
Belgium,839573,16225,05/26/2020
Belgium,857345,17772,05/27/2020
Belgium,870435,13090,05/28/2020
Belgium,884051,13616,05/29/2020
Belgium,893780,9729,05/30/2020
Belgium,900575,6795,05/31/2020
Belgium,906013,5438,06/01/2020
Belgium,916669,10656,06/02/2020
Belgium,931469,14800,06/03/2020
Belgium,944311,12842,06/04/2020
Belgium,957394,13083,06/05/2020
Belgium,969259,11865,06/06/2020
Belgium,976566,7307,06/07/2020
Belgium,987579,11013,06/08/2020
Belgium,1002664,15085,06/09/2020
Belgium,1016990,14326,06/10/2020
Belgium,1030931,13941,06/11/2020
Belgium,1044674,13743,06/12/2020
Belgium,1057195,12521,06/13/2020
Belgium,1063440,6245,06/14/2020
Belgium,1075345,11905,06/15/2020
Belgium,1090539,15194,06/16/2020
Belgium,1105851,15312,06/17/2020
Belgium,1119810,13959,06/18/2020
Belgium,1133205,13395,06/19/2020
Belgium,1145739,12534,06/20/2020
Belgium,1152341,6602,06/21/2020
Belgium,1163470,11129,06/22/2020
Belgium,1180853,17383,06/23/2020
Belgium,1199319,18466,06/24/2020
Belgium,1214521,15202,06/25/2020
Belgium,1229075,14554,06/26/2020
Belgium,1240025,10950,06/27/2020
Belgium,1246209,6184,06/28/2020
Belgium,1258201,11992,06/29/2020
Belgium,1274263,16062,06/30/2020
Belgium,1289435,15172,07/01/2020
Belgium,1303042,13607,07/02/2020
Belgium,1315418,12376,07/03/2020
Belgium,1325421,10003,07/04/2020
Belgium,1331221,5800,07/05/2020
Belgium,1341942,10721,07/06/2020
Belgium,1355866,13924,07/07/2020
Belgium,1369725,13859,07/08/2020
Belgium,1382260,12535,07/09/2020
Belgium,1394282,12022,07/10/2020
Belgium,1403572,9290,07/11/2020
Belgium,1409194,5622,07/12/2020
Belgium,1419435,10241,07/13/2020
Belgium,1434505,15070,07/14/2020
Belgium,1450859,16354,07/15/2020
Belgium,1465338,14479,07/16/2020
Belgium,1479331,13993,07/17/2020
Belgium,1489780,10449,07/18/2020
Belgium,1496059,6279,07/19/2020
Belgium,1507960,11901,07/20/2020
Belgium,1519947,11987,07/21/2020
Belgium,1533230,13283,07/22/2020
Belgium,1551515,18285,07/23/2020
Belgium,1570193,18678,07/24/2020
Belgium,1584700,14507,07/25/2020
Belgium,1595681,10981,07/26/2020
Belgium,1610241,14560,07/27/2020
Belgium,1635762,25521,07/28/2020
Belgium,1661242,25480,07/29/2020
Belgium,1687376,26134,07/30/2020
Belgium,1708906,21530,07/31/2020
Belgium,1729324,20418,08/01/2020
Belgium,1741019,11695,08/02/2020
Belgium,1757846,16827,08/03/2020
Belgium,1783297,25451,08/04/2020
Belgium,1809676,26379,08/05/2020
Belgium,1832871,23195,08/06/2020
Belgium,1855697,22826,08/07/2020
Belgium,1872365,16668,08/08/2020
Belgium,1882321,9956,08/09/2020
Belgium,1899357,17036,08/10/2020
Belgium,1925015,25658,08/11/2020
Belgium,1947088,22073,08/12/2020
Belgium,1968947,21859,08/13/2020
Belgium,1987623,18676,08/14/2020
Belgium,2000604,12981,08/15/2020
Belgium,2009536,8932,08/16/2020
Belgium,2027534,17998,08/17/2020
Belgium,2054645,27111,08/18/2020
Belgium,2077733,23088,08/19/2020
Belgium,2101585,23852,08/20/2020
Belgium,2122398,20813,08/21/2020
Belgium,2138029,15631,08/22/2020
Belgium,2146558,8529,08/23/2020
Belgium,2164167,17609,08/24/2020
Belgium,2191207,27040,08/25/2020
Belgium,2215803,24596,08/26/2020
Belgium,2237111,21308,08/27/2020
Belgium,2262225,25114,08/28/2020
Belgium,2281277,19052,08/29/2020
Belgium,2291877,10600,08/30/2020
Belgium,2311534,19657,08/31/2020
Belgium,2339757,28223,09/01/2020
Belgium,2369826,30069,09/02/2020
Belgium,2393843,24017,09/03/2020
Belgium,2420426,26583,09/04/2020
Belgium,2440166,19740,09/05/2020
Belgium,2451129,10963,09/06/2020
Belgium,2474258,23129,09/07/2020
Belgium,2509381,35123,09/08/2020
Belgium,2544428,35047,09/09/2020
Belgium,2580660,36232,09/10/2020
Belgium,2618702,38042,09/11/2020
Belgium,2645828,27126,09/12/2020
Belgium,2664983,19155,09/13/2020
Belgium,2694290,29307,09/14/2020
Belgium,2736593,42303,09/15/2020
Belgium,2783267,46674,09/16/2020
Belgium,2826489,43222,09/17/2020
Belgium,2867917,41428,09/18/2020
Belgium,2894309,26392,09/19/2020
Belgium,2916183,21874,09/20/2020
Belgium,2951115,34932,09/21/2020
Belgium,2996164,45049,09/22/2020
Belgium,3040598,44434,09/23/2020
Belgium,3081153,40555,09/24/2020
Belgium,3118998,37845,09/25/2020
Belgium,3152437,33439,09/26/2020
Belgium,3172832,20395,09/27/2020
Belgium,3201389,28557,09/28/2020
Belgium,3249691,48302,09/29/2020
Belgium,3296385,46694,09/30/2020
Belgium,3338138,41753,10/01/2020
Belgium,3379916,41778,10/02/2020
Belgium,3414156,34240,10/03/2020
Belgium,3432117,17961,10/04/2020
Belgium,3459508,27391,10/05/2020
Belgium,3505390,45882,10/06/2020
Belgium,3559849,54459,10/07/2020
Belgium,3610014,50165,10/08/2020
Belgium,3663765,53751,10/09/2020
Belgium,3711361,47596,10/10/2020
Belgium,3741734,30373,10/11/2020
Belgium,3786269,44535,10/12/2020
Belgium,3845805,59536,10/13/2020
Belgium,3918787,72982,10/14/2020
Belgium,3985035,66248,10/15/2020
Belgium,4053729,68694,10/16/2020
Belgium,4115628,61899,10/17/2020
Belgium,4160317,44689,10/18/2020
Belgium,4216241,55924,10/19/2020
Belgium,4294574,78333,10/20/2020
Belgium,4375389,80815,10/21/2020
Belgium,4455368,79979,10/22/2020
Belgium,4524523,69155,10/23/2020
Belgium,4588128,63605,10/24/2020
